Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
33.9,151.4,8.2,7.1,7.1,155.2,1,Bhuttan,+1
33.4,163.0,12.9,4.6,3.4,165.7,1,Assam,-1
42.7,149.7,7.4,11.9,5.1,155.1,1,Bhuttan,+1
49.2,150.2,15.0,6.5,5.3,153.5,0,Assam,-1
41.1,141.4,16.4,8.6,6.9,147.9,1,Bhuttan,+1
41.2,173.0,12.6,10.6,5.2,176.4,1,Assam,-1
38.5,154.3,12.6,7.7,6.3,158.9,1,Bhuttan,+1
26.8,141.8,5.9,7.6,7.5,146.4,0,Bhuttan,+1
50.2,115.3,8.8,8.0,6.7,120.9,1,Bhuttan,+1
34.4,186.1,7.8,6.6,7.1,186.3,0,Assam,-1
81.6,184.1,11.8,9.6,6.0,185.4,1,Assam,-1
52.9,127.4,15.0,5.7,3.1,131.3,0,Assam,-1
39.5,133.7,9.8,10.5,4.7,139.2,1,Bhuttan,+1
27.3,158.6,5.2,8.9,6.9,165.3,1,Bhuttan,+1
36.1,127.6,12.1,10.1,4.5,130.4,0,Assam,-1
48.7,120.8,10.4,6.6,3.9,123.4,0,Assam,-1
65.1,153.7,11.8,6.7,5.1,156.1,0,Assam,-1
50.1,164.3,9.4,8.4,8.3,169.4,1,Bhuttan,+1
56.6,109.4,18.8,6.7,5.1,112.2,1,Assam,-1
15.8,150.3,10.1,12.2,7.3,156.5,1,Bhuttan,+1
40.8,144.4,9.5,7.0,5.5,147.2,1,Assam,-1
45.4,133.4,12.8,6.7,6.1,135.2,0,Assam,-1
39.0,150.6,14.8,10.0,6.3,156.6,0,Bhuttan,+1
35.8,158.5,9.9,7.4,5.2,161.1,0,Assam,-1
44.9,154.9,9.3,11.6,7.8,161.3,1,Bhuttan,+1
58.5,172.4,11.6,9.0,5.9,174.0,1,Assam,-1
33.2,141.9,10.9,9.3,6.2,146.4,1,Bhuttan,+1
58.0,160.5,12.0,8.8,5.3,163.8,1,Assam,-1
77.6,126.1,9.9,7.5,5.9,128.4,0,Assam,-1
56.5,140.4,10.3,9.7,4.5,141.6,0,Assam,-1
47.9,146.3,11.1,10.5,7.5,151.9,1,Bhuttan,+1
40.2,156.5,11.2,7.1,6.5,159.1,0,Assam,-1
35.8,160.5,12.4,11.6,8.3,166.4,1,Bhuttan,+1
51.4,129.6,7.4,11.7,8.1,135.9,1,Bhuttan,+1
37.1,127.9,12.9,8.9,6.5,135.2,0,Bhuttan,+1
48.3,151.4,17.5,9.2,5.2,154.4,1,Assam,-1
56.0,175.1,10.5,10.1,4.7,177.0,1,Assam,-1
33.0,112.6,12.1,4.8,4.1,114.6,0,Assam,-1
32.3,127.8,11.1,9.9,5.1,131.2,0,Assam,-1
23.0,113.5,11.1,10.6,6.2,115.6,0,Assam,-1
68.6,144.9,10.7,6.2,3.3,148.4,1,Assam,-1
45.9,147.7,9.3,9.1,5.8,151.3,0,Bhuttan,+1
27.6,129.0,20.8,7.0,5.9,132.7,0,Assam,-1
36.2,109.1,6.1,9.7,5.1,111.1,1,Assam,-1
38.0,136.4,10.6,11.2,7.9,143.8,1,Bhuttan,+1
16.2,130.6,14.5,9.4,7.5,135.9,0,Bhuttan,+1
50.7,130.2,9.1,6.4,7.0,136.5,1,Bhuttan,+1
54.8,159.0,19.9,5.2,6.6,161.6,1,Assam,-1
33.8,155.0,9.0,12.7,8.7,160.2,1,Bhuttan,+1
44.6,154.3,10.1,10.6,6.6,160.1,1,Bhuttan,+1
37.1,144.0,2.4,7.2,6.6,150.3,1,Bhuttan,+1
44.9,132.5,4.0,9.5,4.9,134.2,1,Assam,-1
54.8,124.9,17.7,6.5,5.4,127.6,0,Assam,-1
57.7,138.8,11.5,7.8,6.9,144.6,1,Bhuttan,+1
76.5,150.6,17.1,10.3,4.8,153.7,1,Assam,-1
